,date,open,high,low,close,volume
1759,2023-10-04 14:40:00,170.35,170.48,170.3,170.47,266256
1760,2023-10-04 14:45:00,170.47,170.61,170.45,170.48,230607
1761,2023-10-04 14:50:00,170.48,170.49,170.39,170.46,466561
1762,2023-10-04 14:55:00,170.46,170.62,170.45,170.59,361528
1763,2023-10-04 15:00:00,170.59,170.78,170.58,170.65,477673
1764,2023-10-04 15:05:00,170.64,170.79,170.53,170.76,171034
1765,2023-10-04 15:10:00,170.76,170.97,170.73,170.84,451255
1766,2023-10-04 15:15:00,170.84,171.15,170.83,171.04,554366
1767,2023-10-04 15:20:00,171.03,171.16,170.94,171.13,420765
1768,2023-10-04 15:25:00,171.13,171.18,171.01,171.07,351628
1769,2023-10-04 15:30:00,171.07,171.4,171.07,171.38,834072
1770,2023-10-04 15:35:00,171.38,171.61,171.38,171.46,1143547
1771,2023-10-04 15:40:00,171.46,171.49,171.35,171.35,735718
1772,2023-10-04 15:45:00,171.35,171.52,171.25,171.25,577433
1773,2023-10-04 15:50:00,171.25,171.29,170.96,171.27,993194
1774,2023-10-04 15:55:00,171.27,171.37,171.17,171.17,1880529
1775,2023-10-05 09:30:00,170.8,171.66,170.51,171.5,1841531
1776,2023-10-05 09:35:00,171.49,171.87,171.03,171.08,682137
1777,2023-10-05 09:40:00,171.08,171.17,170.7,170.74,480534
1778,2023-10-05 09:45:00,170.76,170.95,170.58,170.91,291501
1779,2023-10-05 09:50:00,170.91,171.28,170.79,171.25,635176
1780,2023-10-05 09:55:00,171.27,171.65,171.18,171.56,766963
1781,2023-10-05 10:00:00,171.57,171.58,171.08,171.32,577710
1782,2023-10-05 10:05:00,171.33,171.41,170.99,171.39,347580
1783,2023-10-05 10:10:00,171.18,171.52,171.12,171.46,314782
1784,2023-10-05 10:15:00,171.46,171.54,171.23,171.47,306586
1785,2023-10-05 10:20:00,171.48,171.49,170.92,170.98,471396
1786,2023-10-05 10:25:00,170.98,171.41,170.96,171.17,323222
1787,2023-10-05 10:30:00,171.16,171.25,170.98,171.0,414632
1788,2023-10-05 10:35:00,170.99,171.04,170.17,170.22,874067
1789,2023-10-05 10:40:00,170.22,170.49,170.09,170.47,415067
1790,2023-10-05 10:45:00,170.48,170.6,170.37,170.37,360371
1791,2023-10-05 10:50:00,170.37,170.53,170.28,170.46,421498
1792,2023-10-05 10:55:00,170.45,170.55,170.28,170.38,173652
1793,2023-10-05 11:00:00,170.37,170.39,170.13,170.15,244092
1794,2023-10-05 11:05:00,170.15,170.21,170.01,170.12,299620
1795,2023-10-05 11:10:00,170.13,170.36,170.07,170.27,401306
1796,2023-10-05 11:15:00,170.27,170.43,170.17,170.17,261671
1797,2023-10-05 11:20:00,170.18,170.51,170.13,170.42,226417
1798,2023-10-05 11:25:00,170.35,170.45,170.1,170.18,284785
1799,2023-10-05 11:30:00,170.18,170.22,170.03,170.22,256871
1800,2023-10-05 11:35:00,170.23,170.52,170.2,170.41,393290
1801,2023-10-05 11:40:00,170.4,170.51,170.2,170.2,264880
1802,2023-10-05 11:45:00,170.19,170.37,170.14,170.27,196456
1803,2023-10-05 11:50:00,170.26,170.35,170.12,170.34,443231
1804,2023-10-05 11:55:00,170.34,170.35,170.03,170.14,697171
1805,2023-10-05 12:00:00,170.12,170.3,170.07,170.18,193042
1806,2023-10-05 12:05:00,170.17,170.31,170.17,170.22,126428
1807,2023-10-05 12:10:00,170.21,170.48,170.2,170.45,253351
1808,2023-10-05 12:15:00,170.45,170.46,170.13,170.25,299632
1809,2023-10-05 12:20:00,170.25,170.5,170.25,170.37,0
1810,2023-10-05 12:25:00,170.35,170.65,170.35,170.6,401092
1811,2023-10-05 12:30:00,170.61,170.8,170.54,170.55,271101
1812,2023-10-05 12:35:00,170.54,170.66,170.53,170.55,301391
1813,2023-10-05 12:40:00,170.54,170.55,170.36,170.42,153923
1814,2023-10-05 12:45:00,170.4,170.44,170.2,170.2,144695
1815,2023-10-05 12:50:00,170.2,170.38,170.2,170.27,197444
1816,2023-10-05 12:55:00,170.27,170.32,170.13,170.32,189371
1817,2023-10-05 13:00:00,170.32,170.35,170.07,170.07,182578
1818,2023-10-05 13:05:00,170.07,170.1,169.94,169.96,326093
1819,2023-10-05 13:10:00,169.96,170.27,169.95,170.23,213419
1820,2023-10-05 13:15:00,170.22,170.32,170.14,170.27,171109
1821,2023-10-05 13:20:00,170.28,170.5,170.23,170.38,174931
1822,2023-10-05 13:25:00,170.37,170.58,170.32,170.58,131333
1823,2023-10-05 13:30:00,170.58,170.81,170.4,170.76,598024
1824,2023-10-05 13:35:00,170.75,171.12,170.75,171.01,843928
1825,2023-10-05 13:40:00,171.02,171.16,170.96,171.09,273308
1826,2023-10-05 13:45:00,171.09,171.17,171.0,171.08,141049
1827,2023-10-05 13:50:00,171.08,171.14,170.95,170.99,149141
1828,2023-10-05 13:55:00,170.98,171.11,170.97,171.11,126964
1829,2023-10-05 14:00:00,171.12,171.35,171.11,171.3,463011
1830,2023-10-05 14:05:00,171.3,171.3,171.1,171.12,305634
1831,2023-10-05 14:10:00,171.13,171.18,171.03,171.16,286639
1832,2023-10-05 14:15:00,171.17,171.27,171.14,171.21,326623
1833,2023-10-05 14:20:00,171.21,171.23,171.01,171.04,267461
1834,2023-10-05 14:25:00,171.03,171.11,170.93,171.1,371139
1835,2023-10-05 14:30:00,171.1,171.56,171.1,171.55,533922
1836,2023-10-05 14:35:00,171.55,171.75,171.51,171.71,519668
1837,2023-10-05 14:40:00,171.71,171.81,171.54,171.6,718131
1838,2023-10-05 14:45:00,171.59,171.7,171.59,171.68,253606
1839,2023-10-05 14:50:00,171.68,171.74,171.64,171.69,140393
1840,2023-10-05 14:55:00,171.69,171.81,171.62,171.79,467618
1841,2023-10-05 15:00:00,171.79,171.9,171.68,171.69,541115
1842,2023-10-05 15:05:00,171.7,171.7,171.53,171.55,452165
1843,2023-10-05 15:10:00,171.51,171.57,171.34,171.41,432999
1844,2023-10-05 15:15:00,171.41,171.54,171.34,171.45,581889
1845,2023-10-05 15:20:00,171.45,171.54,171.4,171.46,373274
1846,2023-10-05 15:25:00,171.46,171.66,171.46,171.66,232348
1847,2023-10-05 15:30:00,171.67,171.69,171.55,171.57,227916
1848,2023-10-05 15:35:00,171.57,171.7,171.54,171.65,605614
1849,2023-10-05 15:40:00,171.65,171.76,171.65,171.71,874015
1850,2023-10-05 15:45:00,171.71,171.85,171.62,171.69,628039
1851,2023-10-05 15:50:00,171.68,171.71,171.51,171.58,658077
1852,2023-10-05 15:55:00,171.58,171.58,171.34,171.4,1695146
1853,2023-10-06 09:30:00,170.37,170.87,170.3,170.8,2533212
1854,2023-10-06 09:35:00,170.8,171.1,170.31,170.5,940294
1855,2023-10-06 09:40:00,170.49,170.73,170.24,170.29,772377
1856,2023-10-06 09:45:00,170.31,170.71,170.13,170.13,813602
1857,2023-10-06 09:50:00,170.13,170.64,170.08,170.31,476178
1858,2023-10-06 09:55:00,170.3,170.53,170.02,170.43,557070
1859,2023-10-06 10:00:00,170.44,170.51,169.93,170.15,558286
1860,2023-10-06 10:05:00,170.15,170.18,169.74,169.9,436162
1861,2023-10-06 10:10:00,169.89,170.18,169.76,169.95,432059
1862,2023-10-06 10:15:00,169.97,170.07,169.7,169.77,334850
1863,2023-10-06 10:20:00,169.76,170.35,169.51,170.35,781314
1864,2023-10-06 10:25:00,170.36,170.58,170.19,170.51,733744
1865,2023-10-06 10:30:00,170.51,170.83,170.5,170.69,835986
1866,2023-10-06 10:35:00,170.66,171.01,170.62,170.95,643821
1867,2023-10-06 10:40:00,170.96,171.09,170.6,170.74,700911
1868,2023-10-06 10:45:00,170.74,170.89,170.57,170.62,601880
1869,2023-10-06 10:50:00,170.62,170.75,170.47,170.52,383863
1870,2023-10-06 10:55:00,170.51,170.76,170.37,170.7,441573
1871,2023-10-06 11:00:00,170.71,171.03,170.68,171.02,413605
1872,2023-10-06 11:05:00,171.03,171.21,170.91,171.15,584084
1873,2023-10-06 11:10:00,171.16,171.35,171.07,171.2,584198
1874,2023-10-06 11:15:00,171.19,171.48,171.12,171.22,562767
1875,2023-10-06 11:20:00,171.23,171.58,171.19,171.58,410846
1876,2023-10-06 11:25:00,171.59,171.91,171.51,171.9,658918
1877,2023-10-06 11:30:00,171.91,172.37,171.91,172.3,637507
1878,2023-10-06 11:35:00,172.3,172.72,172.24,172.69,859927
1879,2023-10-06 11:40:00,172.68,173.15,172.67,173.05,970990
